127.0.0.1 - - [22/Mar/2024:17:44:16 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:44:59 +0530] "GET /onlineLibStore/one.png HTTP/1.1" 200 241534
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:44:59 +0530] "GET /onlineLibStore/two.jpg HTTP/1.1" 200 62274
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:44:59 +0530] "GET /onlineLibStore/three.jpg HTTP/1.1" 200 169162
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:44:59 +0530] "GET /onlineLibStore/four.jpg HTTP/1.1" 200 136998
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:45:00 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:45:00 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:45:06 +0530] "GET /onlineLibStore/b1.jsp?b_id=1&image=one.png HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:45:06 +0530] "GET /onlineLibStore/style.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:45:06 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:45:11 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:45:12 +0530] "GET /onlineLibStore/b1.jsp?b_id=2&image=two.jpg HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:45:12 +0530] "GET /onlineLibStore/style.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:45:12 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:45:14 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:46:19 +0530] "GET /onlineLibStore/Register.html HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:46:20 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:46:20 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:46:30 +0530] "GET /onlineLibStore/Register.html HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:46:30 +0530] "GET /onlineLibStore/style.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:46:30 +0530] "GET /onlineLibStore/validation.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:46:30 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:46:30 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:04:22 +0530] "GET /onlineLibStore/style.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:04:22 +0530] "GET /onlineLibStore/validation.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:04:22 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:04:23 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:45:34 +0530] "GET /onlineLibStore/Register.html HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:45:34 +0530] "GET /onlineLibStore/style.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:45:34 +0530] "GET /onlineLibStore/validation.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:45:34 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:45:58 +0530] "GET /onlineLibStore/Register.jsp?s_name=1&s_id=1&s_pwd=1&s_cpwd=1&s_dept=1&s_mail=1%40gmail.com&s_address=1 HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:45:58 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:46:04 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:52:10 +0530] "GET /onlineLibStore/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:52:10 +0530] "GET /onlineLibStore/style.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:52:10 +0530] "GET /onlineLibStore/validation.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:52:11 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:52:19 +0530] "GET /onlineLibStore/Register.jsp?s_name=1&s_id=1&s_pwd=1&s_cpwd=1&s_dept=1&s_mail=1%40gmail.com&s_address=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:52:20 +0530] "GET /onlineLibStore/S_login.html HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:52:20 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:59:33 +0530] "GET /webproject/NewFile.html HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:59:33 +0530] "GET /webproject/style.css HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:59:33 +0530] "GET /webproject/test.jpg HTTP/1.1" 200 263061
0:0:0:0:0:0:0:1 - - [22/Mar/2024:18:59:34 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:03 +0530] "GET /webproject/logincheck.jsp?t1=1&t2=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:03 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:06 +0530] "GET /webproject/logincheck.jsp?t1=1&t2=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:06 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:09 +0530] "GET /webproject/signup.html? HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:09 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:14 +0530] "GET /webproject/admit.jsp?t1=1&t5=1&t2=1&t3=1&t4=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:14 +0530] "GET /webproject/home.html HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:14 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:21 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:23 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:26 +0530] "GET /webproject/logincheck.jsp?t1=1&t2=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:26 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:27 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:28 +0530] "GET /webproject/forget.html HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:28 +0530] "GET /webproject/forgotpwd.jpg HTTP/1.1" 200 126305
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:28 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:33 +0530] "POST /webproject/forgot.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:33 +0530] "GET /webproject/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:33 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:36 +0530] "GET /webproject/logincheck.jsp?t1=1&t2=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:36 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:38 +0530] "GET /webproject/logincheck.jsp?t1=1&t2=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:38 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:00:40 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:10:05 +0530] "GET /onlineLibStore/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:10:05 +0530] "GET /onlineLibStore/style.css HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:10:06 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:10:07 +0530] "GET /onlineLibStore/b1.jsp?b_id=2&image=two.jpg HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:10:07 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:11:08 +0530] "GET /onlineLibStore/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:11:09 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:11:10 +0530] "GET /onlineLibStore/b1.jsp?b_id=2&image=two.jpg HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:11:10 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:11:12 +0530] "GET /onlineLibStore/S_login.html?b=issue HTTP/1.1" 200 1211
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:11:12 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:11:15 +0530] "GET /onlineLibStore/S_login.jsp?s_id=1&s_pwd=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:11:15 +0530] "GET /onlineLibStore/S_issue.jsp HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:11:15 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:11:20 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:12:28 +0530] "GET /onlineLibStore/b1.jsp?b_id=2&image=two.jpg HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:12:28 +0530] "GET /onlineLibStore/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:12:28 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:12:30 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:12:30 +0530] "GET /onlineLibStore/b1.jsp?b_id=3&image=three.jpg HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:12:30 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:12:32 +0530] "GET /onlineLibStore/S_login.html?b=Buy HTTP/1.1" 200 1211
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:12:32 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:12:52 +0530] "GET /onlineLibStore/S_login.html?b=Buy HTTP/1.1" 200 1209
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:12:52 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:12:53 +0530] "GET /onlineLibStore/S_login.html?b=Buy HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:12:53 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:12:55 +0530] "GET /onlineLibStore/S_login.jsp?s_id=1&s_pwd=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:12:55 +0530] "GET /onlineLibStore/S_issue.jsp HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:12:55 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:15:48 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:16:35 +0530] "GET /onlineLibStore/S_login.html?b=Buy HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:16:35 +0530] "GET /onlineLibStore/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:16:35 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:16:38 +0530] "GET /onlineLibStore/S_login.jsp?s_id=1&s_pwd=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:16:38 +0530] "GET /onlineLibStore/S_buy.jsp HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:16:38 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:16:44 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:16:45 +0530] "GET /onlineLibStore/b1.jsp?b_id=4&image=four.jpg HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:16:45 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:16:48 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:16:49 +0530] "GET /onlineLibStore/b1.jsp?b_id=1&image=one.png HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:16:49 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:16:51 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:16:55 +0530] "GET /onlineLibStore/S_login.jsp?s_id=1&s_pwd=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:16:55 +0530] "GET /onlineLibStore/S_buy.jsp HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:16:55 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:16:58 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:25:54 +0530] "GET /onlineLibStore/home.html HTTP/1.1" 200 1114
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:25:55 +0530] "GET /onlineLibStore/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:25:55 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:25:55 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:25:58 +0530] "GET /onlineLibStore/b1.jsp?b_id=1&image=one.png HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:25:58 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:19:26:00 +0530] "GET /cart.json HTTP/1.1" 404 760
